revenue_energy,revenue_fcas,capacity_payment,cost_degradation,imbalance_penalty,prediction_penalty
41101.6670580987,11203.777969917472,18876.69344015264,323.9401363986559,1427.8968120867785,0.0
40908.43306817882,11207.836964139184,18956.93775680044,316.2681215074181,1430.4668385708171,0.0
40908.32094235022,11219.266795740245,18936.599396360012,315.42710400442894,1364.1188601502759,0.0
40930.400584297124,11331.829616907438,19124.383561643837,315.89414690677785,1128.7379760604103,0.0
41090.837620800856,11207.340256352336,19124.383561643837,321.63632584584417,1283.2141831232025,0.0
40989.896152503046,11133.657553191664,19124.383561643837,314.6038589241583,1353.0754406004583,0.0
41003.789347037266,11368.911378025468,19012.075546934186,319.4385127334294,1067.7350030704724,0.0
41027.88799225337,11403.00081929612,19077.10494762797,320.57325684283626,1163.9374151842117,0.0
40922.14474902907,11326.600627525104,18977.370983814817,317.0464943764985,1368.8019802719775,0.0
40868.64537080839,11332.393750896847,18878.918682691063,317.2868483247184,1240.7475277462931,0.0
40754.60955244776,11283.03488962687,19010.10393073704,312.1160234910642,1345.131385060842,0.0
41049.95284615516,11459.159008036906,19025.865897222295,320.40271317803547,1178.7988707623147,0.0
41119.064575612974,11417.404849754585,19034.650244644527,322.61350102507714,1051.5127816255422,0.0
41129.73140494315,11396.120900145315,18750.71292118064,327.80930540837215,1470.959151235919,0.0
40819.706056971336,11159.308234227603,18777.47567550873,313.32506642061105,1300.4805846076933,0.0
41137.06056738883,11421.419132316847,19124.383561643837,325.0433671529704,1049.9511703737844,0.0
40929.19199958939,11475.577092645766,18967.491971756288,317.84802466697863,1090.134426611386,0.0
40899.29370593815,11114.523616243217,18977.54266559063,312.9401534793141,1088.2390112381117,0.0
41133.19615365963,11513.462008652108,19124.383561643837,322.833846973299,1403.6911716667241,0.0
41016.55325849804,11435.081010732507,19033.884261362058,318.29766853297417,1148.0300326532586,0.0
40866.32129409202,11107.306675680227,18768.46631027531,315.0427840647984,1439.268838455422,0.0
40779.87541950837,11130.123118809419,18660.031391801243,313.49433862265374,1409.4979465322633,0.0
40780.726170129914,11184.310441653004,18850.272740107375,309.04727191678813,1154.7664916267952,0.0
41098.55632693338,11332.23782085472,18831.36921945978,324.51019782999066,1171.9648744698434,0.0
40913.71932896299,11230.245895615732,18700.100409732673,318.40457434796093,1068.0252537068827,0.0
41058.56355223884,11329.63808065912,19014.475128391052,319.1077721438881,1306.1359774564608,0.0
41089.112951487914,11147.456276848234,18943.504250396687,321.52702366102983,1132.119992216566,0.0
41122.34993420088,11242.835046738961,19021.344794324024,322.07862488416697,1169.4098267534448,0.0
40952.5410385125,10955.218671396313,18673.89042441095,316.6795407840014,1347.487024414101,0.0
40826.03903064575,11177.687720286944,18738.7402858144,313.0272837392868,1209.9662353154747,0.0
40959.699354904114,11381.396796982344,19069.680525512227,317.4655623582147,1077.7977052209271,0.0
40997.96699855159,11361.799962016781,19033.687682952812,319.2597056801516,1253.4570678679663,0.0
40909.974991494746,11180.336670735805,18872.48975181837,314.7783983621768,1394.4724737399165,0.0
40951.72809473277,10973.394419574035,19050.28547839645,313.3256881821313,1096.5556299209923,0.0
41000.0215111829,11305.335730724237,19030.66773492221,317.2123615995234,1151.940057712538,0.0
40809.215741614236,11100.936838947086,18753.67603107061,312.75080458792405,1115.759585810625,0.0
40753.78583810863,11022.213830869232,18898.52896295841,310.48473037621295,1145.2309721192626,0.0
41163.45691075274,11258.420804042187,19116.576529407954,323.6845905265798,1426.661705020178,0.0
40780.644521125054,11035.292809867613,18669.06310201899,311.0484649651937,1059.9205557656162,0.0
40957.77711335083,11202.457959784037,19119.346688576206,313.56855821066966,1363.9079043742327,0.0
40832.89366168246,11231.25374331521,19124.383561643837,309.6019430974946,1198.9217603258603,0.0
41064.6779120961,11298.090546384738,19124.383561643837,320.85488096327873,1207.9992482935813,0.0
40890.78113996468,11259.847928826826,18920.17967364188,314.4309119118024,924.1583353293325,0.0
40918.64955032686,11089.049986830445,18807.941248042825,316.40165759509694,1197.6359881678368,0.0
40770.68294253701,10937.120646938238,18838.36063353962,310.5137450337475,1311.3856181322412,0.0
40966.61833370245,11168.489897367574,19016.565711366206,315.7556837962644,1591.7336903144242,0.0
40949.13686182398,11366.614348971507,19124.383561643837,313.3722454827772,1045.352759961356,0.0
40862.16573050017,11079.007530003704,19025.489384536122,311.6938765171399,1092.847483011781,0.0
40751.648325981776,11215.170648646787,18936.41450237461,309.92633403669095,1120.724777600817,0.0
40665.77094021666,10989.338863976123,18877.510857679412,305.04512016511666,1311.6280402749637,0.0
40732.94264741546,11193.317086150302,19033.926033199037,307.4721649434956,1147.9474664342188,0.0
40404.10973002852,10826.557017340083,18850.331544240937,295.5413641807639,1309.069594431254,0.0
40590.786348048496,11107.001507548915,18973.035353501098,304.17456738398727,1183.9177605759346,0.0
40755.45752742347,11165.860358353873,18950.029240585867,309.0777435030569,1271.6521540894698,0.0
40439.598766549774,11085.722163814626,19073.93364670694,295.4795600135169,1102.1459754622367,0.0
40602.08510327222,11132.452738612667,19044.013550219875,301.74543253364334,1198.237297854758,0.0
