energy,reg_up,reg_dn,reserve
0.7398248002931296,0.0,7.605932207371468,0.0
0.8008412786678207,0.0,7.605932207371468,0.0
0.945416988401125,0.0,7.617271269144746,0.0
0.9512115148238278,0.0,7.6346444018568995,0.0
1.7413440671656324,0.0,7.868802053283701,0.0
8.36634232179778,0.0,9.673514349834651,0.0
10.0,0.0,10.288015626890534,0.0
10.0,0.0,10.629158732170225,0.0
10.0,0.0,10.637469504599848,0.0
10.0,0.0,10.595635292774988,0.0
10.0,0.0,10.36049371085159,0.0
10.0,0.0,10.204646071951089,0.0
10.0,0.0,9.090486170254577,0.0
2.310664216901658,0.0,7.873622985072581,0.0
1.2712977439868118,0.0,7.605932207371468,0.0
0.8391662588641889,0.0,7.605932207371468,0.0
