Publish Time,Location,Solar MW
2022-07-03 07:00:00-07:00,NP15,385.3
2022-07-03 07:00:00-07:00,SP15,790.48
2022-07-03 07:00:00-07:00,ZP26,266.89
2022-07-03 07:00:00-07:00,CAISO,17.11
2022-07-03 07:00:00-07:00,NP15,7.88
2022-07-03 07:00:00-07:00,SP15,6.59
2022-07-03 07:00:00-07:00,ZP26,2.64
2022-07-03 07:00:00-07:00,CAISO,0.01
2022-07-03 07:00:00-07:00,NP15,0.01
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-03 07:00:00-07:00,CAISO,0.0
2022-07-03 07:00:00-07:00,NP15,0.0
2022-07-03 07:00:00-07:00,SP15,0.0
2022-07-03 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,28.46
2022-07-04 07:00:00-07:00,NP15,0.84
2022-07-04 07:00:00-07:00,SP15,27.13
2022-07-04 07:00:00-07:00,ZP26,0.49
2022-07-04 07:00:00-07:00,CAISO,2090.96
2022-07-04 07:00:00-07:00,NP15,297.56
2022-07-04 07:00:00-07:00,SP15,1578.52
2022-07-04 07:00:00-07:00,ZP26,214.88
2022-07-04 07:00:00-07:00,CAISO,7153.75
2022-07-04 07:00:00-07:00,NP15,1197.14
2022-07-04 07:00:00-07:00,SP15,5033.62
2022-07-04 07:00:00-07:00,ZP26,922.99
2022-07-04 07:00:00-07:00,CAISO,10434.59
2022-07-04 07:00:00-07:00,NP15,1666.59
2022-07-04 07:00:00-07:00,SP15,7260.5
2022-07-04 07:00:00-07:00,ZP26,1507.5
2022-07-04 07:00:00-07:00,CAISO,11990.18
2022-07-04 07:00:00-07:00,NP15,1813.63
2022-07-04 07:00:00-07:00,SP15,8348.51
2022-07-04 07:00:00-07:00,ZP26,1828.04
2022-07-04 07:00:00-07:00,CAISO,12724.09
2022-07-04 07:00:00-07:00,NP15,1886.28
2022-07-04 07:00:00-07:00,SP15,8847.74
2022-07-04 07:00:00-07:00,ZP26,1990.07
2022-07-04 07:00:00-07:00,CAISO,13015.76
2022-07-04 07:00:00-07:00,NP15,1910.8
2022-07-04 07:00:00-07:00,SP15,9038.25
2022-07-04 07:00:00-07:00,ZP26,2066.71
2022-07-04 07:00:00-07:00,CAISO,13095.140000000001
2022-07-04 07:00:00-07:00,NP15,1878.18
2022-07-04 07:00:00-07:00,SP15,9176.94
2022-07-04 07:00:00-07:00,ZP26,2040.02
2022-07-04 07:00:00-07:00,CAISO,13024.11
2022-07-04 07:00:00-07:00,NP15,1843.77
2022-07-04 07:00:00-07:00,SP15,9154.61
2022-07-04 07:00:00-07:00,ZP26,2025.73
2022-07-04 07:00:00-07:00,CAISO,12765.54
2022-07-04 07:00:00-07:00,NP15,1791.0
2022-07-04 07:00:00-07:00,SP15,8987.29
2022-07-04 07:00:00-07:00,ZP26,1987.25
2022-07-04 07:00:00-07:00,CAISO,12279.27
2022-07-04 07:00:00-07:00,NP15,1754.64
2022-07-04 07:00:00-07:00,SP15,8605.36
2022-07-04 07:00:00-07:00,ZP26,1919.27
2022-07-04 07:00:00-07:00,CAISO,11444.2
2022-07-04 07:00:00-07:00,NP15,1700.54
2022-07-04 07:00:00-07:00,SP15,7982.05
2022-07-04 07:00:00-07:00,ZP26,1761.61
2022-07-04 07:00:00-07:00,CAISO,9728.36
2022-07-04 07:00:00-07:00,NP15,1576.69
2022-07-04 07:00:00-07:00,SP15,6662.59
2022-07-04 07:00:00-07:00,ZP26,1489.08
2022-07-04 07:00:00-07:00,CAISO,6042.1
2022-07-04 07:00:00-07:00,NP15,1166.16
2022-07-04 07:00:00-07:00,SP15,3894.2
2022-07-04 07:00:00-07:00,ZP26,981.74
2022-07-04 07:00:00-07:00,CAISO,1421.63
2022-07-04 07:00:00-07:00,NP15,371.11
2022-07-04 07:00:00-07:00,SP15,786.58
2022-07-04 07:00:00-07:00,ZP26,263.94
2022-07-04 07:00:00-07:00,CAISO,17.299999999999997
2022-07-04 07:00:00-07:00,NP15,7.71
2022-07-04 07:00:00-07:00,SP15,6.56
2022-07-04 07:00:00-07:00,ZP26,3.03
2022-07-04 07:00:00-07:00,CAISO,0.01
2022-07-04 07:00:00-07:00,NP15,0.01
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-04 07:00:00-07:00,CAISO,0.0
2022-07-04 07:00:00-07:00,NP15,0.0
2022-07-04 07:00:00-07:00,SP15,0.0
2022-07-04 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,0.0
2022-07-05 07:00:00-07:00,NP15,0.0
2022-07-05 07:00:00-07:00,SP15,0.0
2022-07-05 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,0.0
2022-07-05 07:00:00-07:00,NP15,0.0
2022-07-05 07:00:00-07:00,SP15,0.0
2022-07-05 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,0.0
2022-07-05 07:00:00-07:00,NP15,0.0
2022-07-05 07:00:00-07:00,SP15,0.0
2022-07-05 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,0.0
2022-07-05 07:00:00-07:00,NP15,0.0
2022-07-05 07:00:00-07:00,SP15,0.0
2022-07-05 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,0.0
2022-07-05 07:00:00-07:00,NP15,0.0
2022-07-05 07:00:00-07:00,SP15,0.0
2022-07-05 07:00:00-07:00,ZP26,0.0
2022-07-05 07:00:00-07:00,CAISO,25.389999999999997
2022-07-05 07:00:00-07:00,NP15,0.64
2022-07-05 07:00:00-07:00,SP15,24.33
2022-07-05 07:00:00-07:00,ZP26,0.42
2022-07-05 07:00:00-07:00,CAISO,2063.5299999999997
2022-07-05 07:00:00-07:00,NP15,292.88
2022-07-05 07:00:00-07:00,SP15,1561.28
2022-07-05 07:00:00-07:00,ZP26,209.37
2022-07-05 07:00:00-07:00,CAISO,7104.98
2022-07-05 07:00:00-07:00,NP15,1187.05
2022-07-05 07:00:00-07:00,SP15,4993.34
2022-07-05 07:00:00-07:00,ZP26,924.59
2022-07-05 07:00:00-07:00,CAISO,10424.05
2022-07-05 07:00:00-07:00,NP15,1666.27
2022-07-05 07:00:00-07:00,SP15,7258.37
2022-07-05 07:00:00-07:00,ZP26,1499.41
2022-07-05 07:00:00-07:00,CAISO,12044.329999999998
2022-07-05 07:00:00-07:00,NP15,1838.06
2022-07-05 07:00:00-07:00,SP15,8387.96
2022-07-05 07:00:00-07:00,ZP26,1818.31
2022-07-05 07:00:00-07:00,CAISO,12852.63
2022-07-05 07:00:00-07:00,NP15,1921.69
2022-07-05 07:00:00-07:00,SP15,8932.13
2022-07-05 07:00:00-07:00,ZP26,1998.81
2022-07-05 07:00:00-07:00,CAISO,13236.130000000001
2022-07-05 07:00:00-07:00,NP15,1968.48
2022-07-05 07:00:00-07:00,SP15,9185.25
2022-07-05 07:00:00-07:00,ZP26,2082.4
2022-07-05 07:00:00-07:00,CAISO,13300.400000000001
2022-07-05 07:00:00-07:00,NP15,1984.67
2022-07-05 07:00:00-07:00,SP15,9241.54
2022-07-05 07:00:00-07:00,ZP26,2074.19
2022-07-05 07:00:00-07:00,CAISO,13251.420000000002
